keyword,code,name,sector,matched_strategies,matched_count,is_startup,startup_label
锂电正极材料,002192,融捷股份,锂电池,无,0,False,—
铌酸锂晶体,600330,天通股份,光通信,无,0,False,—
金属钽(钽电容,000962,东方钽业,被动元件,无,0,False,—
量子传感器,002980,华盛昌,光通信,无,0,False,—
长征10号乙,603698,航天工程,商业航天,无,0,False,—
高速光模块,002025,航天电器,光通信,无,0,False,—
高速互联芯片,000925,众合科技,光通信,无,0,False,—
长鑫产业链,601133,柏诚股份,半导体,无,0,False,—
航天粉煤,603698,航天工程,商业航天,无,0,False,—
航天一院,603698,航天工程,商业航天,无,0,False,—
网传华为昇腾,002897,意华股份,AI硬件,无,0,False,—
第一大股东变更(湖北省国资,000783,长江证券,其他,无,0,False,—
设立新公司(光模块,002787,华源控股,半导体,无,0,False,—
芯片测试设备,603061,金海通,半导体,无,0,False,—
储能变流器,603063,禾望电气,AI硬件,无,0,False,—
供应处理,603045,福达合金,AI硬件,无,0,False,—
人形机器人(数控螺纹磨床,002520,日发精机,PCB,无,0,False,—
云算力(庆阳,000925,众合科技,光通信,无,0,False,—
原油运输,601872,招商轮船,美伊战争,无,0,False,—
卫星玻璃(切割设备,002943,宇晶股份,半导体,无,0,False,—
光隔离器,600184,光电股份,光通信,无,0,False,—
军工(电容器,603267,鸿远电子,被动元件,无,0,False,—
二手车销售,605151,西上海,其他,无,0,False,—
中字头(央企,002051,中工国际,美伊战争,无,0,False,—
LNG保温板,002409,雅克科技,半导体,无,0,False,—
AMD供应商,603061,金海通,半导体,无,0,False,—
AI可信数据空间(央企,000032,深桑达Ａ,半导体,无,0,False,—
ABF膜(封装基板材料,600186,莲花控股,半导体,无,0,False,—
可转债扩产,603061,金海通,半导体,无,0,False,—
拟收购贵州贡岩气,600903,贵州燃气,半导体,无,0,False,—
拟收购坛坛香食品,603317,天味食品,公告,无,0,False,—
拟投建锂电池负极材料项目,002192,融捷股份,锂电池,无,0,False,—
拟参与杉杉集团重整招募,600516,方大炭素,数据中心散热,无,0,False,—
拟78亿元建设先进封测工厂,600584,长电科技,公告,无,0,False,—
投资电池项目,600152,维科技术,其他,无,0,False,—
投资宇树,002787,华源控股,半导体,无,0,False,—
投建高阶HDI,603459,红板科技,公告,无,0,False,—
224G高速连接器,002025,航天电器,光通信,无,0,False,—
智慧物流(上海,605151,西上海,其他,无,0,False,—
无人驾驶环卫车,000967,盈峰环境,算力租赁,无,0,False,—
数据中心电源(UPS,002580,圣阳股份,数据中心散热,无,0,False,—
数据中心(HVDC,002364,中恒电气,AI硬件,无,0,False,—
收购伽蓝特(光模块,002980,华盛昌,光通信,无,0,False,—
塑料防盗瓶盖,003018,金富科技,数据中心散热,无,0,False,—
基建(伊朗,002051,中工国际,美伊战争,无,0,False,—
四氯化硅(光纤,605366,宏柏新材,光通信,无,0,False,—
啤酒拉环盖,003018,金富科技,数据中心散热,无,0,False,—
复合调味品,603317,天味食品,公告,无,0,False,—
外延并购,603317,天味食品,公告,无,0,False,—
座椅盖板,605151,西上海,其他,无,0,False,—
并购贷款落地,003018,金富科技,数据中心散热,无,0,False,—
干散货运输,601872,招商轮船,美伊战争,无,0,False,—
定增,600152,维科技术,其他,无,0,False,—
宁德时代拟入股,002364,中恒电气,AI硬件,无,0,False,—
存储设备,603061,金海通,半导体,无,0,False,—
存储(供应长鑫,603459,红板科技,公告,无,0,False,—
